Time (sec),S:Load (lbs),S:Position (in),Ch:Position (mm),Ch:Load (lbs),Ch:Stress (kPa),Ch:Strain (lbs),Cycles (),Time_P&V (),S:Load_P&V (),S:Position_P&V (),Ch:Position_P&V (),Ch:Load_P&V (),Ch:Stress_P&V (),Ch:Strain_P&V (),Cycles_P&V ()
2.4,1.22801,0.001506,0.038256,1.22801,278.271118,0.007651,0,,,,,,,,
2.42,1.252058,0.001515,0.038491,1.252058,283.720306,0.007698,0,,,,,,,,
2.44,1.245645,0.001531,0.038881,1.245645,282.267212,0.007776,0,,,,,,,,
2.46,1.307366,0.001542,0.039168,1.307366,296.253387,0.007834,0,,,,,,,,
2.48,1.296545,0.001551,0.039402,1.296545,293.80127,0.00788,0,,,,,,,,
2.5,1.325802,0.001577,0.040053,1.325802,300.431091,0.008011,0,,,,,,,,
2.52,1.337425,0.001593,0.04047,1.337425,303.06488,0.008094,0,,,,,,,,
2.54,1.340631,0.001602,0.040678,1.340631,303.791443,0.008136,0,,,,,,,,
2.56,1.383115,0.001614,0.040991,1.383115,313.418304,0.008198,0,,,,,,,,
2.58,1.387924,0.001623,0.041225,1.387924,314.508148,0.008245,0,,,,,,,,
2.6,1.41117,0.001631,0.041433,1.41117,319.775665,0.008287,0,,,,,,,,
2.62,1.426801,0.001645,0.041772,1.426801,323.317627,0.008354,0,,,,,,,,
2.64,1.442832,0.001665,0.042293,1.442832,326.950409,0.008459,0,,,,,,,,
2.66,1.479704,0.001694,0.043022,1.479704,335.305817,0.008604,0,,,,,,,,
2.68,1.495736,0.001711,0.043465,1.495736,338.938599,0.008693,0,,,,,,,,
2.7,1.53862,0.001719,0.043673,1.53862,348.656311,0.008735,0,,,,,,,,
2.72,1.569881,0.001732,0.043986,1.569881,355.740204,0.008797,0,,,,,,,,
2.74,1.583107,0.001742,0.044246,1.583107,358.737274,0.008849,0,,,,,,,,
2.76,1.59473,0.001757,0.044637,1.59473,361.371033,0.008927,0,,,,,,,,
2.78,1.597536,0.001774,0.045053,1.597536,362.006775,0.009011,0,,,,,,,,
2.8,1.623587,0.001781,0.045236,1.623587,367.910034,0.009047,0,,,,,,,,
2.82,1.61998,0.00179,0.04547,1.61998,367.092651,0.009094,0,,,,,,,,
2.84,1.644428,0.0018,0.04573,1.644428,372.63266,0.009146,0,,,,,,,,
2.86,1.674888,0.001812,0.046017,1.674888,379.534912,0.009203,0,,,,,,,,
2.88,1.685709,0.001827,0.046407,1.685709,381.987061,0.009281,0,,,,,,,,
2.9,1.714165,0.001844,0.04685,1.714165,388.435242,0.00937,0,,,,,,,,
2.92,1.709355,0.001859,0.047215,1.709355,387.345398,0.009443,0,,,,,,,,
2.94,1.729395,0.001867,0.047423,1.729395,391.886383,0.009485,0,,,,,,,,
2.96,1.755045,0.001879,0.047736,1.755045,397.698853,0.009547,0,,,,,,,,
2.98,1.796326,0.001894,0.0481,1.796326,407.053253,0.00962,0,,,,,,,,
3,1.831194,0.001912,0.048569,1.831194,414.954559,0.009714,0,,,,,,,,
3.02,1.836004,0.001927,0.048934,1.836004,416.044373,0.009787,0,,,,,,,,
3.04,1.848428,0.001935,0.049142,1.848428,418.859802,0.009828,0,,,,,,,,
3.06,1.846424,0.001949,0.049507,1.846424,418.405731,0.009901,0,,,,,,,,
3.08,1.876083,0.001959,0.049767,1.876083,425.126373,0.009953,0,,,,,,,,
3.1,1.889709,0.001969,0.050001,1.889709,428.214203,0.01,0,,,,,,,,
3.12,1.92057,0.001985,0.050418,1.92057,435.207306,0.010084,0,,,,,,,,
3.14,1.942613,0.002005,0.050939,1.942613,440.202393,0.010188,0,,,,,,,,
3.16,1.973874,0.002023,0.051382,1.973874,447.286346,0.010276,0,,,,,,,,
3.18,1.996318,0.002039,0.051798,1.996318,452.372223,0.01036,0,,,,,,,,
3.2,2.008743,0.002051,0.052085,2.008743,455.187622,0.010417,0,,,,,,,,
3.22,2.02237,0.002063,0.052397,2.02237,458.275482,0.010479,0,,,,,,,,
3.24,2.059242,0.002078,0.052788,2.059242,466.63092,0.010558,0,,,,,,,,
3.26,2.100924,0.002092,0.053126,2.100924,476.076111,0.010625,0,,,,,,,,
3.28,2.105733,0.0021,0.053335,2.105733,477.165955,0.010667,0,,,,,,,,
3.3,2.116955,0.002111,0.053621,2.116955,479.708923,0.010724,0,,,,,,,,
3.32,2.102527,0.002119,0.05383,2.102527,476.439392,0.010766,0,,,,,,,,
3.34,2.125773,0.002134,0.054194,2.125773,481.70697,0.010839,0,,,,,,,,
3.36,2.155431,0.002147,0.054533,2.155431,488.427582,0.010907,0,,,,,,,,
3.38,2.203125,0.002158,0.054819,2.203125,499.235138,0.010964,0,,,,,,,,
3.4,2.209537,0.002172,0.055158,2.209537,500.688232,0.011032,0,,,,,,,,
3.42,2.227973,0.002183,0.055444,2.227973,504.865936,0.011089,0,,,,,,,,
3.44,2.237191,0.002191,0.055653,2.237191,506.954773,0.011131,0,,,,,,,,
3.46,2.233183,0.002205,0.056017,2.233183,506.04657,0.011203,0,,,,,,,,
3.48,2.268052,0.002218,0.05633,2.268052,513.947876,0.011266,0,,,,,,,,
3.5,2.277671,0.002226,0.056538,2.277671,516.127563,0.011308,0,,,,,,,,
3.52,2.309734,0.002232,0.056694,2.309734,523.393127,0.011339,0,,,,,,,,
3.54,2.322559,0.002245,0.057033,2.322559,526.299377,0.011407,0,,,,,,,,
3.56,2.3434,0.002266,0.057554,2.3434,531.021973,0.011511,0,,,,,,,,
3.58,2.339392,0.002279,0.057892,2.339392,530.11377,0.011578,0,,,,,,,,
3.6,2.371054,0.002285,0.058048,2.371054,537.288513,0.01161,0,,,,,,,,
3.62,2.39951,0.002307,0.058595,2.39951,543.736694,0.011719,0,,,,,,,,
3.64,2.445199,0.00233,0.059194,2.445199,554.090149,0.011839,0,,,,,,,,
3.66,2.489687,0.002345,0.059559,2.489687,564.171143,0.011912,0,,,,,,,,
3.68,2.503314,0.002358,0.059897,2.503314,567.258972,0.011979,0,,,,,,,,
3.7,2.512933,0.002363,0.060028,2.512933,569.43866,0.012006,0,,,,,,,,
3.72,2.503715,0.002368,0.060158,2.503715,567.349792,0.012032,0,,,,,,,,
3.74,2.498103,0.002384,0.060548,2.498103,566.078308,0.01211,0,,,,,,,,
3.76,2.554614,0.002397,0.060887,2.554614,578.883911,0.012177,0,,,,,,,,
3.78,2.592689,0.002407,0.061147,2.592689,587.511719,0.012229,0,,,,,,,,
3.8,2.589483,0.002417,0.061382,2.589483,586.785156,0.012276,0,,,,,,,,
3.82,2.601106,0.002429,0.061694,2.601106,589.418945,0.012339,0,,,,,,,,
3.84,2.614732,0.002446,0.062137,2.614732,592.506775,0.012427,0,,,,,,,,
3.86,2.647597,0.002462,0.062528,2.647597,599.953979,0.012506,0,,,,,,,,
3.88,2.67966,0.002477,0.062918,2.67966,607.219604,0.012584,0,,,,,,,,
3.9,2.712524,0.002492,0.063309,2.712524,614.666809,0.012662,0,,,,,,,,
3.92,2.74619,0.002503,0.063569,2.74619,622.295593,0.012714,0,,,,,,,,
3.94,2.761821,0.002515,0.063882,2.761821,625.837524,0.012776,0,,,,,,,,
3.96,2.768234,0.002531,0.064299,2.768234,627.29071,0.01286,0,,,,,,,,
3.98,2.78146,0.002538,0.064455,2.78146,630.28772,0.012891,0,,,,,,,,
4,2.794686,0.002545,0.064637,2.794686,633.28479,0.012927,0,,,,,,,,
4.02,2.803904,0.002551,0.064793,2.803904,635.373596,0.012959,0,,,,,,,,
4.04,2.83236,0.002561,0.065054,2.83236,641.821838,0.013011,0,,,,,,,,
4.06,2.842379,0.002576,0.065418,2.842379,644.092285,0.013084,0,,,,,,,,
4.08,2.866426,0.002586,0.065679,2.866426,649.541504,0.013136,0,,,,,,,,
4.1,2.876446,0.002598,0.065991,2.876446,651.811951,0.013198,0,,,,,,,,
4.12,2.882057,0.002618,0.066486,2.882057,653.083496,0.013297,0,,,,,,,,
4.14,2.93456,0.002644,0.067163,2.93456,664.980774,0.013433,0,,,,,,,,
4.16,2.988666,0.002668,0.067762,2.988666,677.241394,0.013552,0,,,,,,,,
4.18,3.053995,0.00269,0.068335,3.053995,692.045105,0.013667,0,,,,,,,,
4.2,3.075236,0.002701,0.068596,3.075236,696.858521,0.013719,0,,,,,,,,
4.22,3.07724,0.002707,0.068752,3.07724,697.312622,0.01375,0,,,,,,,,
4.24,3.055197,0.002718,0.069038,3.055197,692.317505,0.013808,0,,,,,,,,
4.26,3.09247,0.002729,0.069325,3.09247,700.763733,0.013865,0,,,,,,,,
4.28,3.114513,0.00274,0.069585,3.114513,705.758789,0.013917,0,,,,,,,,
4.3,3.135755,0.002749,0.06982,3.135755,710.572205,0.013964,0,,,,,,,,
4.32,3.163008,0.002759,0.07008,3.163008,716.747925,0.014016,0,,,,,,,,
4.34,3.172627,0.002775,0.070497,3.172627,718.927612,0.014099,0,,,,,,,,
4.36,3.183048,0.002789,0.070835,3.183048,721.289001,0.014167,0,,,,,,,,
4.38,3.216313,0.002808,0.07133,3.216313,728.826965,0.014266,0,,,,,,,,
4.4,3.255189,0.00283,0.071877,3.255189,737.636414,0.014375,0,,,,,,,,
4.42,3.295669,0.002836,0.072033,3.295669,746.809204,0.014407,0,,,,,,,,
4.44,3.312502,0.002842,0.072189,3.312502,750.623657,0.014438,0,,,,,,,,
4.46,3.29607,0.002851,0.072424,3.29607,746.900024,0.014485,0,,,,,,,,
4.48,3.318113,0.00286,0.072632,3.318113,751.895142,0.014526,0,,,,,,,,
4.5,3.308093,0.002873,0.072971,3.308093,749.624634,0.014594,0,,,,,,,,
4.52,3.35218,0.002889,0.073387,3.35218,759.614807,0.014677,0,,,,,,,,
4.54,3.381838,0.002903,0.073726,3.381838,766.335449,0.014745,0,,,,,,,,
4.56,3.431536,0.00292,0.074169,3.431536,777.597107,0.014834,0,,,,,,,,
4.58,3.457186,0.002932,0.074481,3.457186,783.409485,0.014896,0,,,,,,,,
4.6,3.482435,0.002947,0.074846,3.482435,789.131104,0.014969,0,,,,,,,,
4.62,3.476023,0.002964,0.075288,3.476023,787.67804,0.015058,0,,,,,,,,
4.64,3.508487,0.002975,0.075575,3.508487,795.034424,0.015115,0,,,,,,,,
4.66,3.534137,0.002984,0.075783,3.534137,800.846863,0.015157,0,,,,,,,,
4.68,3.549367,0.002996,0.076096,3.549367,804.297974,0.015219,0,,,,,,,,
4.7,3.591449,0.003015,0.076591,3.591449,813.834045,0.015318,0,,,,,,,,
4.72,3.621509,0.003029,0.076929,3.621509,820.645569,0.015386,0,,,,,,,,
4.74,3.633933,0.003041,0.077242,3.633933,823.460876,0.015448,0,,,,,,,,
4.76,3.633532,0.003056,0.077632,3.633532,823.370117,0.015526,0,,,,,,,,
4.78,3.653972,0.003068,0.077919,3.653972,828.001892,0.015584,0,,,,,,,,
4.8,3.686035,0.003087,0.078414,3.686035,835.267456,0.015683,0,,,,,,,,
4.82,3.753768,0.003107,0.078908,3.753768,850.616028,0.015782,0,,,,,,,,
4.84,3.777415,0.003115,0.079117,3.777415,855.974365,0.015823,0,,,,,,,,
4.86,3.754169,0.003121,0.079273,3.754169,850.706848,0.015855,0,,,,,,,,
4.88,3.763788,0.003128,0.079455,3.763788,852.886475,0.015891,0,,,,,,,,
4.9,3.768597,0.003136,0.079664,3.768597,853.976318,0.015933,0,,,,,,,,
4.92,3.7698,0.003147,0.079924,3.7698,854.248779,0.015985,0,,,,,,,,
4.94,3.803466,0.003157,0.080184,3.803466,861.877625,0.016037,0,,,,,,,,
4.96,3.830318,0.003172,0.080575,3.830318,867.962585,0.016115,0,,,,,,,,
4.98,3.871599,0.003187,0.08094,3.871599,877.316956,0.016188,0,,,,,,,,
5,3.892841,0.0032,0.081278,3.892841,882.130371,0.016256,0,,,,,,,,
5.02,3.867191,0.003208,0.081487,3.867191,876.317932,0.016297,0,,,,,,,,
5.04,3.899254,0.003222,0.081851,3.899254,883.583435,0.01637,0,,,,,,,,
5.06,3.919293,0.003242,0.082346,3.919293,888.124512,0.016469,0,,,,,,,,
5.08,3.966185,0.003255,0.082684,3.966185,898.750366,0.016537,0,,,,,,,,
5.1,3.997046,0.003275,0.083179,3.997046,905.743469,0.016636,0,,,,,,,,
5.12,4.04514,0.003292,0.083622,4.04514,916.641846,0.016724,0,,,,,,,,
5.14,4.069989,0.003303,0.083908,4.069989,922.272583,0.016782,0,,,,,,,,
5.16,4.038727,0.003314,0.084169,4.038727,915.18866,0.016834,0,,,,,,,,
5.18,4.079607,0.003327,0.084507,4.079607,924.452209,0.016901,0,,,,,,,,
5.2,4.102052,0.003334,0.08469,4.102052,929.538208,0.016938,0,,,,,,,,
5.22,4.126099,0.003346,0.084976,4.126099,934.987427,0.016995,0,,,,,,,,
5.24,4.131309,0.003353,0.085159,4.131309,936.167969,0.017032,0,,,,,,,,
5.26,4.120488,0.003364,0.085445,4.120488,933.715942,0.017089,0,,,,,,,,
5.28,4.149344,0.003383,0.08594,4.149344,940.254883,0.017188,0,,,,,,,,
5.3,4.176198,0.0034,0.086356,4.176198,946.339905,0.017271,0,,,,,,,,
5.32,4.204252,0.003412,0.086669,4.204252,952.697144,0.017334,0,,,,,,,,
5.34,4.224692,0.003414,0.086721,4.224692,957.328918,0.017344,0,,,,,,,,
5.36,4.229903,0.003419,0.086851,4.229903,958.509644,0.01737,0,,,,,,,,
5.38,4.245132,0.003445,0.087502,4.245132,961.960693,0.0175,0,,,,,,,,
5.4,4.310461,0.003476,0.088284,4.310461,976.764343,0.017657,0,,,,,,,,
5.42,4.3305,0.00349,0.088648,4.3305,981.305298,0.01773,0,,,,,,,,
5.44,4.332905,0.003501,0.088935,4.332905,981.85022,0.017787,0,,,,,,,,
5.46,4.355349,0.003514,0.089247,4.355349,986.936157,0.017849,0,,,,,,,,
5.48,4.367373,0.003526,0.08956,4.367373,989.660706,0.017912,0,,,,,,,,
5.5,4.430296,0.003544,0.090028,4.430296,1003.919373,0.018006,0,,,,,,,,
5.52,4.441919,0.003545,0.090054,4.441919,1006.553162,0.018011,0,,,,,,,,
5.54,4.42228,0.003553,0.090237,4.42228,1002.103027,0.018047,0,,,,,,,,
5.56,4.434304,0.003576,0.090836,4.434304,1004.827576,0.018167,0,,,,,,,,
5.58,4.469974,0.003594,0.091278,4.469974,1012.910522,0.018256,0,,,,,,,,
5.6,4.503239,0.003609,0.091669,4.503239,1020.448547,0.018334,0,,,,,,,,
5.62,4.524882,0.003622,0.092008,4.524882,1025.352905,0.018402,0,,,,,,,,
5.64,4.564159,0.003638,0.092398,4.564159,1034.253174,0.01848,0,,,,,,,,
5.66,4.593016,0.003653,0.092789,4.593016,1040.792236,0.018558,0,,,,,,,,
5.68,4.604238,0.003672,0.093258,4.604238,1043.335083,0.018652,0,,,,,,,,
5.7,4.617864,0.003684,0.09357,4.617864,1046.422974,0.018714,0,,,,,,,,
5.72,4.627884,0.003695,0.093857,4.627884,1048.693481,0.018771,0,,,,,,,,
5.74,4.65113,0.003703,0.094065,4.65113,1053.96106,0.018813,0,,,,,,,,
5.76,4.678784,0.003708,0.094195,4.678784,1060.227539,0.018839,0,,,,,,,,
5.78,4.684796,0.00372,0.094482,4.684796,1061.589966,0.018896,0,,,,,,,,
5.8,4.690407,0.003728,0.09469,4.690407,1062.861328,0.018938,0,,,,,,,,
5.82,4.683593,0.003742,0.095055,4.683593,1061.317383,0.019011,0,,,,,,,,
5.84,4.71766,0.003769,0.095732,4.71766,1069.036987,0.019146,0,,,,,,,,
5.86,4.778981,0.003792,0.096305,4.778981,1082.932495,0.019261,0,,,,,,,,
5.88,4.792607,0.0038,0.096513,4.792607,1086.020264,0.019303,0,,,,,,,,
5.9,4.811043,0.003807,0.096695,4.811043,1090.197998,0.019339,0,,,,,,,,
5.92,4.801024,0.003815,0.096904,4.801024,1087.927612,0.019381,0,,,,,,,,
5.94,4.829079,0.003824,0.097138,4.829079,1094.28479,0.019428,0,,,,,,,,
5.960001,4.823067,0.003842,0.097581,4.823067,1092.922607,0.019516,0,,,,,,,,
5.98,4.844709,0.003861,0.098076,4.844709,1097.826782,0.019615,0,,,,,,,,
6,4.886792,0.003871,0.098336,4.886792,1107.362915,0.019667,0,,,,,,,,
6.02,4.90122,0.003883,0.098622,4.90122,1110.632324,0.019724,0,,,,,,,,
6.04,4.93168,0.003892,0.098857,4.93168,1117.534668,0.019771,0,,,,,,,,
6.06,4.953323,0.003908,0.099273,4.953323,1122.439087,0.019855,0,,,,,,,,
6.08,4.946108,0.003921,0.099586,4.946108,1120.804199,0.019917,0,,,,,,,,
6.1,4.952521,0.003944,0.100185,4.952521,1122.257324,0.020037,0,,,,,,,,
6.12,5.002619,0.003972,0.100888,5.002619,1133.609741,0.020178,0,,,,,,,,
6.14,5.052317,0.003987,0.101279,5.052317,1144.87146,0.020256,0,,,,,,,,
